B19DCCN040,7.0
B19DCCN041,5.4
B19DCCN049,7.2
B19DCCN060,7.7
B19DCCN101,3.9
B19DCCN104,7.3
B19DCCN107,6.0
B19DCCN071,6.6
B19DCCN073,6.5
B19DCDT021,3.2
B19DCCN079,0.0
B19DCCN084,8.2
B19DCCN087,7.9
B19DCDT027,4.7
B19DCCN114,3.5
B19DCCN118,4.9
B19DCCN119,6.2
B19DCCN121,7.5
B19DCCN131,4.2
B19DCCN140,5.3
B19DCDT034,3.5
B19DCDT037,6.2
B19DCCN160,6.5
B19DCCN162,I
B19DCCN171,8.2
B19DCCN191,5.2
B19DCCN197,0.0
B19DCCN205,0.0
B19DCCN211,0.0
B19DCCN216,6.6
B19DCDT074,4.5
B19DCCN240,4.1
B19DCCN244,I
B19DCCN246,0.0
B19DCDT078,5.4
B19DCCN270,3.1
B19DCDT090,5.2
B19DCCN274,3.0
B19DCCN279,7.2
B19DCCN291,5.3
B19DCCN292,6.6
B19DCCN302,5.8
B19DCCN303,8.0
B17DCCN752,0.0
B19DCCN339,7.5
B19DCDT112,4.2
B19DCCN364,5.0
B19DCCN345,6.2
B19DCCN392,8.7
B19DCCN410,4.1
B19DCCN411,9.0
B19DCCN422,4.3
B19DCCN433,4.6
B19DCCN435,5.7
B19DCDT147,6.0
B19DCCN460,7.8
B19DCCN478,7.5
B19DCCN730,3.4
B19DCCN498,6.9
B19DCCN515,7.4
B19DCCN547,I
B19DCCN555,6.3
B19DCCN564,5.9
B19DCCN573,5.7
B19DCDT223,5.1
B19DCCN665,6.6
B19DCCN669,7.6
B19DCCN670,7.0
B19DCCN579,4.5
B19DCCN581,5.0
B19DCDT194,5.4
B19DCCN585,4.9
B19DCCN596,7.2
B19DCCN695,4.8
B19DCCN696,5.5
B19DCCN698,5.4
B19DCCN608,7.1
B19DCCN610,4.0
B19DCCN618,6.9
B19DCCN625,6.1
B19DCCN628,6.7
B19DCDT210,3.8
B19DCCN632,7.5
B19DCCN715,4.2
B19DCCN718,5.7
B19DCCN002,4.5
B19DCDT002,5.1
B19DCCN007,4.5
B19DCCN018,4.9
B19DCDT009,3.4
B19DCCN090,6.6
B19DCCN116,4.6
B19DCCN126,6.0
B19DCCN129,6.0
B19DCCN138,4.6
B19DCCN141,5.1
B18DCCN112,7.5
B19DCCN163,4.4
B19DCDT047,3.0
B19DCCN181,3.4
B19DCCN183,4.9
B19DCCN189,4.8
B19DCDT057,3.3
B19DCCN195,6.3
B19DCCN206,5.6
B19DCCN208,7.6
B19DCCN213,3.3
B19DCCN252,6.9
B19DCCN257,3.7
B19DCDT083,0.0
B19DCCN269,5.4
B19DCCN277,0.0
B19DCDT099,8.0
B19DCCN288,6.5
B19DCCN293,5.7
B19DCCN295,3.3
B19DCCN299,8.6
B19DCCN310,6.7
B19DCCN329,4.3
B19DCCN336,5.0
B19DCCN337,7.7
B19DCCN342,7.2
B19DCCN355,4.8
B19DCCN362,6.3
B19DCDT126,6.1
B19DCCN350,7.4
B19DCCN369,6.9
B19DCCN375,6.5
B19DCCN376,3.9
B19DCCN379,3.8
B19DCCN385,I
B19DCCN386,6.1
B19DCDT140,7.9
B19DCCN432,4.1
B19DCCN436,0.0
B19DCCN448,4.0
B19DCCN453,5.9
B19DCCN456,8.7
B19DCCN469,7.0
B19DCCN481,6.9
B19DCCN457,7.3
B19DCCN500,6.8
B19DCCN505,6.9
B19DCCN517,6.7
B19DCCN540,7.1
B19DCCN553,7.2
B19DCCN554,6.3
B19DCCN558,5.4
B19DCCN560,5.1
B19DCCN565,6.7
B19DCCN567,7.6
B19DCCN640,7.0
B19DCCN644,5.1
