STT,MSV,GPA
324,B19DCCN208,2.55
329,B19DCCN384,2.54
330,B19DCCN216,2.53
330,B19DCCN458,2.53
330,B19DCCN393,2.53
330,B19DCCN069,2.53
330,B19DCCN341,2.53
330,B19DCCN382,2.53
330,B19DCCN184,2.53
337,B19DCCN032,2.51
337,B19DCCN464,2.51
339,B19DCCN509,2.5
339,B19DCCN210,2.5
339,B19DCCN011,2.5
339,B19DCCN366,2.5
339,B19DCCN076,2.5
339,B19DCCN495,2.5
339,B19DCCN480,2.5
339,B19DCCN433,2.5
339,B19DCCN695,2.5
339,B19DCCN288,2.5
339,B19DCCN550,2.5
339,B19DCCN409,2.5
351,B19DCCN096,2.48
351,B19DCCN147,2.48
353,B19DCCN129,2.47
354,B19DCCN324,2.45
354,B19DCCN571,2.45
354,B19DCCN146,2.45
354,B19DCCN414,2.45
354,B19DCCN477,2.45
354,B19DCCN189,2.45
354,B19DCCN516,2.45
354,B19DCCN472,2.45
362,B19DCCN300,2.42
363,B19DCCN284,2.4
363,B19DCCN665,2.4
363,B19DCCN544,2.4
363,B19DCCN228,2.4
363,B19DCCN499,2.4
363,B19DCCN412,2.4
363,B19DCCN323,2.4
363,B19DCCN605,2.4
363,B19DCCN319,2.4
363,B19DCCN624,2.4
363,B19DCCN016,2.4
374,B19DCCN259,2.39
374,B19DCCN615,2.39
374,B19DCCN501,2.39
374,B19DCCN563,2.39
378,B19DCCN335,2.37
378,B19DCCN667,2.37
378,B19DCCN256,2.37
381,B19DCCN400,2.35
381,B19DCCN097,2.35
383,B19DCCN346,2.34
383,B19DCCN148,2.34
383,B19DCCN024,2.34
386,B19DCCN564,2.32
386,B19DCCN360,2.32
386,B19DCCN329,2.32
386,B19DCCN215,2.32
386,B19DCCN095,2.32
386,B19DCCN658,2.32
392,B19DCCN363,2.3
392,B19DCCN166,2.3
392,B19DCCN504,2.3
392,B19DCCN201,2.3
392,B19DCCN291,2.3
392,B19DCCN127,2.3
392,B19DCCN309,2.3
392,B19DCCN156,2.3
392,B19DCCN461,2.3
392,B19DCCN130,2.3
402,B19DCCN330,2.29
402,B19DCCN029,2.29
402,B19DCCN283,2.29
402,B19DCCN352,2.29
402,B19DCCN177,2.29
407,B19DCCN485,2.26
408,B19DCCN721,2.24
408,B19DCCN599,2.24
408,B19DCCN614,2.24
408,B19DCCN009,2.24
408,B19DCCN454,2.24
408,B19DCCN140,2.24
414,B19DCCN424,2.21
414,B19DCCN602,2.21
416,B19DCCN034,2.2
416,B19DCCN708,2.2
416,B19DCCN508,2.2
416,B19DCCN707,2.2
416,B19DCCN033,2.2
421,B19DCCN062,2.11
422,B19DCCN691,2.1
422,B19DCCN391,2.1
422,B19DCCN362,2.1
422,B19DCCN635,2.1
422,B19DCCN659,2.1
422,B19DCCN390,2.1
422,B19DCCN459,2.1
422,B19DCCN203,2.1
422,B19DCCN337,2.1
422,B19DCCN109,2.1
422,B19DCCN585,2.1
433,B19DCCN199,2.08
433,B19DCCN336,2.08
435,B19DCCN654,2.06
436,B19DCCN443,2.05
436,B19DCCN028,2.05
436,B19DCCN116,2.05
436,B19DCCN731,2.05
440,B19DCCN293,2.03
441,B19DCCN088,2.0
441,B19DCCN287,2.0
441,B19DCCN155,2.0
441,B19DCCN636,2.0
441,B19DCCN137,2.0
441,B19DCCN637,2.0
447,B19DCCN590,1.97
448,B19DCCN305,1.95
448,B19DCCN223,1.95
448,B19DCCN099,1.95
451,B19DCCN537,1.94
452,B19DCCN706,1.9
452,B19DCCN361,1.9
454,B19DCCN053,1.87
454,B19DCCN629,1.87
456,B19DCCN558,1.84
457,B19DCCN610,1.82
458,B19DCCN229,1.8
458,B19DCCN343,1.8
458,B19DCCN666,1.8
458,B19DCCN354,1.8
458,B19DCCN227,1.8
458,B19DCCN190,1.8
464,B19DCCN698,1.79
464,B19DCCN355,1.79
464,B19DCCN718,1.79
464,B19DCCN139,1.79
468,B19DCCN271,1.76
469,B19DCCN105,1.71
470,B19DCCN703,1.7
470,B19DCCN720,1.7
470,B19DCCN403,1.7
473,B19DCCN447,1.68
474,B19DCCN102,1.66
474,B19DCCN725,1.66
476,B19DCCN422,1.6
476,B19DCCN219,1.6
476,B19DCCN041,1.6
479,B19DCCN149,1.5
480,B19DCCN634,1.4
